omega_PVDF,phi_CB,eta (Pa·s)
0.01,0.0320345,5.335747463044939
0.01,0.033636225,5.628354296415185
0.01,0.035237950000000004,5.9236794143204445
0.01,0.036839675,6.222064664089177
0.01,0.0384414,6.524593002796169
0.01,0.040043125000000006,6.83192710775871
0.01,0.041644850000000004,7.145601922966665
0.01,0.043246575,7.46818876462842
0.01,0.0448483,7.802984070619359
0.01,0.046450025,8.15440796767794
0.01,0.048051750000000004,8.531736059913703
0.01,0.049653475,8.941583158860162
0.01,0.0512552,9.395016357881339
0.01,0.052856925,9.89688650311691
0.01,0.05445865,10.453929905278978
0.01,0.056060374999999996,10.63890350936484
0.01,0.0576621,10.608523377194594
0.01,0.059263825,10.579078938794748
0.01,0.060865550000000004,10.550517226965741
0.01,0.06246727500000001,10.522789569036329
0.01,0.064069,10.495851138878038
0.01,0.065670725,10.469660565548518
0.01,0.06727245,10.444179590214434
0.01,0.068874175,10.41937276440303
0.01,0.07047590000000001,10.395207183768864
0.01,0.072077625,10.371652252492117
0.01,0.07367935,10.34867947418893
0.01,0.075281075,10.326262265844864
0.01,0.0768828,10.304375791805438
0.01,0.07848452500000001,10.282996815293028
0.01,0.08008625000000001,10.262103565283404
0.01,0.08168797500000001,10.241675616880563
0.01,0.08328970000000001,10.221693783585888
0.01,0.084891425,10.202140020075078
0.01,0.08649315,10.182997334280882
0.01,0.088094875,10.164249707736644
0.01,0.0896966,10.145882023269674
0.01,0.091298325,10.127879999248364
0.01,0.09290005,10.110230129685403
0.01,0.09450177500000001,10.092919629584454
0.01,0.09610350000000001,10.075936384990914
0.011,0.0320345,5.448794680495112
0.011,0.033636225,5.747683494034356
0.011,0.035237950000000004,6.049739509506927
0.011,0.036839675,6.355451101779409
0.011,0.0384414,6.6653473144001145
0.011,0.040043125000000006,6.9805735453175215
0.011,0.041644850000000004,7.303346194999087
0.011,0.043246575,7.635632767444022
0.011,0.0448483,7.981957902272581
0.011,0.046450025,8.346289670333661
0.011,0.048051750000000004,8.737366924082327
0.011,0.049653475,9.161487344843708
0.011,0.0512552,9.629373540788738
0.011,0.052856925,10.145317315051065
0.011,0.05445865,10.714523371744145
0.011,0.056060374999999996,11.281682813294232
0.011,0.0576621,11.249175783262533
0.011,0.059263825,11.21767526909256
0.011,0.060865550000000004,11.187124136477637
0.011,0.06246727500000001,11.157469892131017
0.011,0.064069,11.128664198981424
0.011,0.065670725,11.100662452719547
0.011,0.06727245,11.07342341064169
0.011,0.068874175,11.046908865254343
0.011,0.07047590000000001,11.021083356337567
0.011,0.072077625,10.995913916173997
0.011,0.07367935,10.97136984347897
0.011,0.075281075,10.947422502251328
0.011,0.0768828,10.924045142331385
0.011,0.07848452500000001,10.901212738924643
0.011,0.08008625000000001,10.87890184874438
0.011,0.08168797500000001,10.857090480757314
0.011,0.08328970000000001,10.835757979795458
0.011,0.084891425,10.814884921532954
0.011,0.08649315,10.794453017526623
0.011,0.088094875,10.77444502918906
0.011,0.0896966,10.754844689708355
0.011,0.091298325,10.735636633052827
0.011,0.09290005,10.716806329305934
0.011,0.09450177500000001,10.698340025668452
0.011,0.09610350000000001,10.680224692544453
0.012,0.0320345,5.549256005118062
0.012,0.033636225,5.854539340663466
0.012,0.035237950000000004,6.162948528750636
0.012,0.036839675,6.47499767869255
0.012,0.0384414,6.792463206804276
0.012,0.040043125000000006,7.115601654370211
0.012,0.041644850000000004,7.4472982300564015
0.012,0.043246575,7.789833820499873
0.012,0.0448483,8.147466135044883
0.012,0.046450025,8.525285822321848
0.012,0.048051750000000004,8.930875905217322
0.012,0.049653475,9.371378452483693
0.012,0.0512552,9.854032218472952
0.012,0.052856925,10.385137984171216
0.012,0.05445865,10.967314255493907
0.012,0.056060374999999996,11.598933718138465
0.012,0.0576621,11.945800432204708
0.012,0.059263825,11.912413800918998
0.012,0.060865550000000004,11.880038382382237
0.012,0.06246727500000001,11.848618119325003
0.012,0.064069,11.81810140062353
0.012,0.065670725,11.788440607714763
0.012,0.06727245,11.759591717088128
0.012,0.068874175,11.73151395076612
0.012,0.07047590000000001,11.704169468011354
0.012,0.072077625,11.677523092581056
0.012,0.07367935,11.651542070739714
0.012,0.075281075,11.626195855975014
0.012,0.0768828,11.601455916970686
0.012,0.07848452500000001,11.577295565896558
0.012,0.08008625000000001,11.553689804499543
0.012,0.08168797500000001,11.530615185834487
0.012,0.08328970000000001,11.508049689773065
0.012,0.084891425,11.485972610681705
0.012,0.08649315,11.464364455874
0.012,0.088094875,11.443206853625494
0.012,0.0896966,11.422482469694474
0.012,0.091298325,11.402174931425675
0.012,0.09290005,11.382268758628342
0.012,0.09450177500000001,11.362749300518606
0.012,0.09610350000000001,11.343602678101197
0.013,0.0320345,5.655449207850045
0.013,0.033636225,5.966555581520353
0.013,0.035237950000000004,6.281642913471289
0.013,0.036839675,6.601107061980867
0.013,0.0384414,6.926168369742872
0.013,0.040043125000000006,7.258034063648355
0.013,0.041644850000000004,7.5989837379909195
0.013,0.043246575,7.95190419830496
0.013,0.0448483,8.321796249914927
0.013,0.046450025,8.712980878764814
0.013,0.048051750000000004,9.132864533472105
0.013,0.049653475,9.587590715734295
0.013,0.0512552,10.085115438419972
0.013,0.052856925,10.62993255496252
0.013,0.05445865,11.224734070665674
0.013,0.056060374999999996,11.867524869971925
0.013,0.0576621,12.559660249501295
0.013,0.059263825,12.723517322040122
0.013,0.060865550000000004,12.689293650575607
0.013,0.06246727500000001,12.656084360027034
0.013,0.064069,12.623834505066508
0.013,0.065670725,12.592493397848836
0.013,0.06727245,12.562014183604523
0.013,0.068874175,12.532353467519254
0.013,0.07047590000000001,12.503470985666825
0.013,0.072077625,12.475329313922227
0.013,0.07367935,12.447893609733661
0.013,0.075281075,12.421131382418082
0.013,0.0768828,12.395012288296007
0.013,0.07848452500000001,12.369507947523319
0.013,0.08008625000000001,12.344591779930616
0.013,0.08168797500000001,12.320238857560776
0.013,0.08328970000000001,12.296425771915173
0.013,0.084891425,12.27313051418955
0.013,0.08649315,12.250332367009658
0.013,0.088094875,12.228011806371915
0.013,0.0896966,12.206150412660802
0.013,0.091298325,12.184730789757129
0.013,0.09290005,12.163736491373772
0.013,0.09450177500000001,12.14315195386065
0.013,0.09610350000000001,12.122962434811798
0.014,0.0320345,5.752370196325655
0.014,0.033636225,6.070192669490093
0.014,0.035237950000000004,6.391367757655043
0.014,0.036839675,6.71769825772529
0.014,0.0384414,7.050670368421473
0.014,0.040043125000000006,7.39134684163059
0.014,0.041644850000000004,7.741750978632998
0.014,0.043246575,8.106002669434632
0.014,0.0448483,8.487422794146026
0.014,0.046450025,8.892469460197912
0.014,0.048051750000000004,9.326149289499313
0.014,0.049653475,9.796583446124856
0.014,0.0512552,10.309867988983545
0.014,0.052856925,10.868834244067232
0.014,0.05445865,11.476857154215026
0.014,0.056060374999999996,12.13290324363183
0.014,0.0576621,12.836531840077555
0.014,0.059263825,13.583748122176363
0.014,0.060865550000000004,13.580009990881988
0.014,0.06246727500000001,13.545142593984378
0.014,0.064069,13.511286957334727
0.014,0.065670725,13.478389505141797
0.014,0.06727245,13.446400719390644
0.014,0.068874175,13.41527474438788
0.014,0.07047590000000001,13.384969038040824
0.014,0.072077625,13.35544406342263
0.014,0.07367935,13.326663015187147
0.014,0.075281075,13.298591576231894
0.014,0.0768828,13.271197700699041
0.014,0.07848452500000001,13.244451419979985
0.014,0.08008625000000001,13.218324668869935
0.014,0.08168797500000001,13.19279112942238
0.014,0.08328970000000001,13.167826090393
0.014,0.084891425,13.143406320449534
0.014,0.08649315,13.119509953567581
0.014,0.088094875,13.096116385239162
0.014,0.0896966,13.073206178297658
0.014,0.091298325,13.050760977313875
0.014,0.09290005,13.028763430647775
0.014,0.09450177500000001,13.007197119352199
0.014,0.09610350000000001,12.986046492221313
0.015,0.0320345,5.85887653842939
0.015,0.033636225,6.182890978642885
0.015,0.035237950000000004,6.511603110257655
0.015,0.036839675,6.8456193227255975
0.015,0.0384414,7.186472634117106
0.015,0.040043125000000006,7.535715433339426
0.015,0.041644850000000004,7.896567771816548
0.015,0.043246575,8.271150870154866
0.015,0.0448483,8.665613289421554
0.015,0.046450025,9.08337073021931
0.015,0.048051750000000004,9.532446822605083
0.015,0.049653475,10.016923030468012
0.015,0.0512552,10.542905006448816
0.015,0.052856925,11.115693375109405
0.015,0.05445865,11.736004731034907
0.015,0.056060374999999996,12.40282391477432
0.015,0.0576621,13.116442882655086
0.015,0.059263825,13.876669468026254
0.015,0.060865550000000004,14.612960338162654
0.015,0.06246727500000001,14.576363694810766
0.015,0.064069,14.540833403042488
0.015,0.065670725,14.506312872408515
0.015,0.06727245,14.472749804902481
0.015,0.068874175,14.440095776172445
0.015,0.07047590000000001,14.408305866267533
0.015,0.072077625,14.3773383330803
0.015,0.07367935,14.347154322719252
0.015,0.075281075,14.317717611931535
0.015,0.0768828,14.288994378429749
0.015,0.07848452500000001,14.260952995587573
0.015,0.08008625000000001,14.23356384847904
0.015,0.08168797500000001,14.2067991686643
0.015,0.08328970000000001,14.180632885484911
0.015,0.084891425,14.155040491936248
0.015,0.08649315,14.129998923442514
0.015,0.088094875,14.10548644807946
0.015,0.0896966,14.081482566977208
0.015,0.091298325,14.057967923795747
0.015,0.09290005,14.034924222303495
0.015,0.09450177500000001,14.012334151207515
0.015,0.09610350000000001,13.990181315486392
0.016,0.0320345,5.959522247295706
0.016,0.033636225,6.289788353237165
0.016,0.035237950000000004,6.624727781272105
0.016,0.036839675,6.966602155562211
0.016,0.0384414,7.315597316924514
0.016,0.040043125000000006,7.674295548745254
0.016,0.041644850000000004,8.045108858785055
0.016,0.043246575,8.431220920433075
0.016,0.0448483,8.838128659884823
0.016,0.046450025,9.270153694804415
0.016,0.048051750000000004,9.73257758377127
0.016,0.049653475,10.23183842273662
0.016,0.0512552,10.772688944553773
0.016,0.052856925,11.358828708753169
0.016,0.05445865,11.99067120202442
0.016,0.056060374999999996,12.67042510993798
0.016,0.0576621,13.396769721671
0.016,0.059263825,14.167102675125317
0.016,0.060865550000000004,14.981742340279435
0.016,0.06246727500000001,15.711945257408715
0.016,0.064069,15.67484280227156
0.016,0.065670725,15.63879895445137
0.016,0.06727245,15.603758771470787
0.016,0.068874175,15.569671386120623
0.016,0.07047590000000001,15.53648961757651
0.016,0.072077625,15.504169627518973
0.016,0.07367935,15.47267061517546
0.016,0.075281075,15.441954546137596
0.016,0.0768828,15.411985910581373
0.016,0.07848452500000001,15.382731507162429
0.016,0.08008625000000001,15.354160249396903
0.016,0.08168797500000001,15.326242991789753
0.016,0.08328970000000001,15.29895237335257
0.016,0.084891425,15.272262676473932
0.016,0.08649315,15.246149699377538
0.016,0.088094875,15.220590640634883
0.016,0.0896966,15.195563994396618
0.016,0.091298325,15.171049455175966
0.016,0.09290005,15.147027831162372
0.016,0.09450177500000001,15.123480965168659
0.016,0.09610350000000001,15.100391662422584
0.017,0.0320345,6.05459281024245
0.017,0.033636225,6.391178017607877
0.017,0.035237950000000004,6.733262061979037
0.017,0.036839675,7.082513046255517
0.017,0.0384414,7.44005080070851
0.017,0.040043125000000006,7.807185657479313
0.017,0.041644850000000004,8.18902175350402
0.017,0.043246575,8.58664699466888
0.017,0.0448483,9.005804840236427
0.017,0.046450025,9.451710320898032
0.017,0.048051750000000004,9.928839476888369
0.017,0.049653475,10.442203838334942
0.017,0.0512552,10.997957703866243
0.017,0.052856925,11.597772164931872
0.017,0.05445865,12.24341739214004
0.017,0.056060374999999996,12.934312346690492
0.017,0.0576621,13.672455171840975
0.017,0.059263825,14.455179314075655
0.017,0.060865550000000004,15.282754701344741
0.017,0.06246727500000001,16.150750713364637
0.017,0.064069,16.92321921898213
0.017,0.065670725,16.885749884296896
0.017,0.06727245,16.849327838845188
0.017,0.068874175,16.81389989843853
0.017,0.07047590000000001,16.77941673838752
0.017,0.072077625,16.745832533108274
0.017,0.07367935,16.713104636552924
0.017,0.075281075,16.681193298062187
0.017,0.0768828,16.650061409051577
0.017,0.07848452500000001,16.61967427661933
0.017,0.08008625000000001,16.58999942072943
0.017,0.08168797500000001,16.56100639209701
0.017,0.08328970000000001,16.532666608302478
0.017,0.084891425,16.50495320599768
0.017,0.08649315,16.47784090735306
0.017,0.088094875,16.451305899137754
0.017,0.0896966,16.425325723031836
0.017,0.091298325,16.39987917594719
0.017,0.09290005,16.374946219285786
0.017,0.09450177500000001,16.3505078961951
0.017,0.09610350000000001,16.326546255993424
0.018,0.0320345,6.145489088000909
0.018,0.033636225,6.488570833461836
0.018,0.035237950000000004,6.8372890860310385
0.018,0.036839675,7.194223982417623
0.018,0.0384414,7.559766925710403
0.018,0.040043125000000006,7.93680691300263
0.018,0.041644850000000004,8.328508001390352
0.018,0.043246575,8.738109102300621
0.018,0.0448483,9.170737724484985
0.018,0.046450025,9.629075388931767
0.018,0.048051750000000004,10.121044387963812
0.018,0.049653475,10.650077849112778
0.018,0.0512552,11.220635198332312
0.018,0.052856925,11.83421769420959
0.018,0.05445865,12.492722690187408
0.018,0.056060374999999996,13.197101695093487
0.018,0.0576621,13.945949863288403
0.018,0.059263825,14.74178864207059
0.018,0.060865550000000004,15.579110731867667
0.018,0.06246727500000001,16.459891753797688
0.018,0.064069,17.3830095881061
0.018,0.065670725,18.256943949699153
0.018,0.06727245,18.21923321706687
0.018,0.068874175,18.182555471038267
0.018,0.07047590000000001,18.146859359623615
0.018,0.072077625,18.112097178470503
0.018,0.07367935,18.07822453740507
0.018,0.075281075,18.04520006396357
0.018,0.0768828,18.01298513911951
0.018,0.07848452500000001,17.981543661119115
0.018,0.08008625000000001,17.9508418339286
0.018,0.08168797500000001,17.920847977292443
0.018,0.08328970000000001,17.89153235581862
0.018,0.084891425,17.862867024859153
0.018,0.08649315,17.83482569125281
0.018,0.088094875,17.80738358725065
0.018,0.0896966,17.78051735616165
0.018,0.091298325,17.75420494844101
0.018,0.09290005,17.728425527102647
0.018,0.09450177500000001,17.7031593814743
0.018,0.09610350000000001,17.67838784843173
0.019,0.0320345,6.250210831055425
0.019,0.033636225,6.599453533623374
0.019,0.035237950000000004,6.955852816061391
0.019,0.036839675,7.320614899160174
0.019,0.0384414,7.695537368479837
0.019,0.040043125000000006,8.082744798846132
0.019,0.041644850000000004,8.484706957165532
0.019,0.043246575,8.906311193151787
0.019,0.0448483,9.350958541970378
0.019,0.046450025,9.82308234056713
0.019,0.048051750000000004,10.329226533643059
0.019,0.049653475,10.871604945699321
0.019,0.0512552,11.454199926171313
0.019,0.052856925,12.081274111014547
0.019,0.05445865,12.751343835321503
0.019,0.056060374999999996,13.46772462197686
0.019,0.0576621,14.229639769151863
0.019,0.059263825,15.034248697104289
0.019,0.060865550000000004,15.883817493448081
0.019,0.06246727500000001,16.776269977811737
0.019,0.064069,17.71120512698119
0.019,0.065670725,18.688260958801628
0.019,0.06727245,19.705575384363286
0.019,0.068874175,19.737718095408386
0.019,0.07047590000000001,19.70069035390221
0.019,0.072077625,19.664634729180847
0.019,0.07367935,19.629504931052324
0.019,0.075281075,19.595257820118935
0.019,0.0768828,19.561853131591317
0.019,0.07848452500000001,19.52925322849986
0.019,0.08008625000000001,19.497422880644415
0.019,0.08168797500000001,19.46632906614203
0.019,0.08328970000000001,19.435940792869204
0.019,0.084891425,19.406228937463574
0.019,0.08649315,19.377166099862848
0.019,0.088094875,19.348726471624165
0.019,0.0896966,19.320885716493958
0.019,0.091298325,19.2936208618922
0.019,0.09290005,19.26691020014131
0.019,0.09450177500000001,19.240733198413274
0.019,0.09610350000000001,19.21507041649194
0.02,0.0320345,6.351807179682762
0.02,0.033636225,6.708064052551342
0.02,0.035237950000000004,7.072412319619183
0.02,0.036839675,7.445311209376968
0.02,0.0384414,7.828993359632403
0.02,0.040043125000000006,8.225553136315172
0.02,0.041644850000000004,8.63861778485731
0.02,0.043246575,9.071739064071961
0.02,0.0448483,9.529356218945532
0.02,0.046450025,10.015514978341846
0.02,0.048051750000000004,10.533522665365245
0.02,0.049653475,11.090710262093499
0.02,0.0512552,11.68680690811231
0.02,0.052856925,12.326392419385193
0.02,0.05445865,13.009727741939303
0.02,0.056060374999999996,13.737010757250324
0.02,0.0576621,14.510143270145004
0.02,0.059263825,15.328980429862783
0.02,0.060865550000000004,16.189529566583758
0.02,0.06246727500000001,17.093102566964944
0.02,0.064069,18.038257686355347
0.02,0.065670725,19.02799691277588
0.02,0.06727245,20.059006130677624
0.02,0.068874175,21.129796381424107
0.02,0.07047590000000001,21.399506369928915
0.02,0.072077625,21.36222518491667
0.02,0.07367935,21.325904473057367
0.02,0.075281075,21.290499401344306
0.02,0.0768828,21.255968127816256
0.02,0.07848452500000001,21.222271544540888
0.02,0.08008625000000001,21.189373047422514
0.02,0.08168797500000001,21.15723832955941
0.02,0.08328970000000001,21.125835195331657
0.02,0.084891425,21.09513339278497
0.02,0.08649315,21.06510446220203
0.02,0.088094875,21.035721599030037
0.02,0.0896966,21.006959529569624
0.02,0.091298325,20.978794398032452
0.02,0.09290005,20.951203663748313
0.02,0.09450177500000001,20.92416600745207
0.02,0.09610350000000001,20.897661245709344
0.021,0.0320345,6.468296598558714
0.021,0.033636225,6.832196971075224
0.021,0.035237950000000004,7.2046023032304705
0.021,0.036839675,7.586434861655143
0.021,0.0384414,7.978963523973813
0.021,0.040043125000000006,8.386404977364835
0.021,0.041644850000000004,8.810025149340447
0.021,0.043246575,9.255002039706962
0.021,0.0448483,9.724676530123281
0.021,0.046450025,10.223305971906491
0.021,0.048051750000000004,10.754785537538416
0.021,0.049653475,11.323231524112993
0.021,0.0512552,11.933454223720133
0.021,0.052856925,12.584130505783754
0.021,0.05445865,13.278832870178213
0.021,0.056060374999999996,14.017903211954405
0.021,0.0576621,14.800841436925532
0.021,0.059263825,15.630726450387815
0.021,0.060865550000000004,16.50109242574989
0.021,0.06246727500000001,17.415745933055312
0.021,0.064069,18.37257765290219
0.021,0.065670725,19.37242406137148
0.021,0.06727245,20.41472539067116
0.021,0.068874175,21.498669174434507
0.021,0.07047590000000001,22.626566040600984
0.021,0.072077625,23.267929172336952
0.021,0.07367935,23.230272307543476
0.021,0.075281075,23.193567799744546
0.021,0.0768828,23.157772054833355
0.021,0.07848452500000001,23.122844330517253
0.021,0.08008625000000001,23.088746495999278
0.021,0.08168797500000001,23.05544281626241
0.021,0.08328970000000001,23.022899758009583
0.021,0.084891425,22.991085814714854
0.021,0.08649315,22.959971348582034
0.021,0.088094875,22.92952844749696
0.021,0.0896966,22.899730795306667
0.021,0.091298325,22.870553553970346
0.021,0.09290005,22.841973256308172
0.021,0.09450177500000001,22.81396770823036
0.021,0.09610350000000001,22.786515899463392
0.022,0.0320345,6.565900934401388
0.022,0.033636225,6.937143812703021
0.022,0.035237950000000004,7.316596607206849
0.022,0.036839675,7.706941260843148
0.022,0.0384414,8.109178269070798
0.022,0.040043125000000006,8.525809442614204
0.022,0.041644850000000004,8.96094458627822
0.022,0.043246575,9.417707916852516
0.022,0.0448483,9.90055034100333
0.022,0.046450025,10.412203951412938
0.022,0.048051750000000004,10.958058971488954
0.022,0.049653475,11.540449443129104
0.022,0.0512552,12.162297222909004
0.022,0.052856925,12.82700126894498
0.022,0.05445865,13.5347611398811
0.022,0.056060374999999996,14.286500260534394
0.022,0.0576621,15.080837804624748
0.022,0.059263825,15.921869782843357
0.022,0.060865550000000004,16.80482784692997
0.022,0.06246727500000001,17.731975872527645
0.022,0.064069,18.702279294586283
0.022,0.065670725,19.712266967827773
0.022,0.06727245,20.766746038256578
0.022,0.068874175,21.8665064753315
0.022,0.07047590000000001,23.00449150420244
0.022,0.072077625,24.1870698079385
0.022,0.07367935,25.245062027702637
0.022,0.075281075,25.207319347044876
0.022,0.0768828,25.17051401188101
0.022,0.07848452500000001,25.134603929182504
0.022,0.08008625000000001,25.09954970701458
0.022,0.08168797500000001,25.065314431231474
0.022,0.08328970000000001,25.031863464604314
0.022,0.084891425,24.999164265744447
0.022,0.08649315,24.967186225538207
0.022,0.088094875,24.935900519109857
0.022,0.0896966,24.905279971585603
0.022,0.091298325,24.875298936150898
0.022,0.09290005,24.8459331830812
0.022,0.09450177500000001,24.817159798588257
0.022,0.09610350000000001,24.78895709246349
0.023,0.0320345,6.679940766504105
0.023,0.033636225,7.058731229832897
0.023,0.035237950000000004,7.446562079036115
0.023,0.036839675,7.845224920508024
0.023,0.0384414,8.257169257828755
0.023,0.040043125000000006,8.684442130491666
0.023,0.041644850000000004,9.130347864353753
0.023,0.043246575,9.59913225787633
0.023,0.0448483,10.094082629086822
0.023,0.046450025,10.618220341434712
0.023,0.048051750000000004,11.176406087098282
0.023,0.049653475,11.772001688955397
0.023,0.0512552,12.407356432955885
0.023,0.052856925,13.083850556062629
0.023,0.05445865,13.802863223217186
0.023,0.056060374999999996,14.566352088714433
0.023,0.0576621,15.372533255852327
0.023,0.059263825,16.224255846079615
0.023,0.060865550000000004,17.119050003952946
0.023,0.06246727500000001,18.055070921149618
0.023,0.064069,19.037532469332508
0.023,0.065670725,20.060107643695
0.023,0.06727245,21.12794387740359
0.023,0.068874175,22.238421984821034
0.023,0.07047590000000001,23.389746089910748
0.023,0.072077625,24.581637443187848
0.023,0.07367935,25.821796426931456
0.023,0.075281075,27.098138873647382
0.023,0.0768828,27.410622125375422
0.023,0.07848452500000001,27.373579777022055
0.023,0.08008625000000001,27.337422902406647
0.023,0.08168797500000001,27.302113249176625
0.023,0.08328970000000001,27.267614926996306
0.023,0.084891425,27.233894219548983
0.023,0.08649315,27.200919414731676
0.023,0.088094875,27.16866065098103
0.023,0.0896966,27.137089777935156
0.023,0.091298325,27.106180229864382
0.023,0.09290005,27.07590691049926
0.023,0.09450177500000001,27.046246088052538
0.023,0.09610350000000001,27.017175299376813
0.024,0.0320345,6.793188106065391
0.024,0.033636225,7.179645724401301
0.024,0.035237950000000004,7.5755293618890605
0.024,0.036839675,7.9831196721941025
0.024,0.0384414,8.404940762648625
0.024,0.040043125000000006,8.842339062569042
0.024,0.041644850000000004,9.299794343903676
0.024,0.043246575,9.780696371978449
0.024,0.0448483,10.28672954557201
0.024,0.046450025,10.824465141856138
0.024,0.048051750000000004,11.395117481126029
0.024,0.049653475,12.002537531894683
0.024,0.0512552,12.650728502698438
0.024,0.052856925,13.339539416034862
0.024,0.05445865,14.07080804158972
0.024,0.056060374999999996,14.84569512894909
0.024,0.0576621,15.663169581137653
0.024,0.059263825,16.524664124102674
0.024,0.060865550000000004,17.43144256272189
0.024,0.06246727500000001,18.38027314657232
0.024,0.064069,19.37285884594484
0.024,0.065670725,20.41019616543649
0.024,0.06727245,21.487463495006306
0.024,0.068874175,22.61046200185319
0.024,0.07047590000000001,23.774843448997885
0.024,0.072077625,24.980364103197005
0.024,0.07367935,26.234399603651728
0.024,0.075281075,27.524887852322184
0.024,0.0768828,28.862367313220606
0.024,0.07848452500000001,29.79552956175834
0.024,0.08008625000000001,29.75831426526694
0.024,0.08168797500000001,29.72197350125979
0.024,0.08328970000000001,29.686470165148645
0.024,0.084891425,29.65176940227817
0.024,0.08649315,29.61783843205208
0.024,0.088094875,29.584646388777493
0.024,0.0896966,29.552164177366045
0.024,0.091298325,29.52036434226684
0.024,0.09290005,29.489220948209265
0.024,0.09450177500000001,29.458709471507987
0.024,0.09610350000000001,29.42880670083315
0.025,0.0320345,6.888320011942902
0.025,0.033636225,7.281828086834526
0.025,0.035237950000000004,7.685264884994938
0.025,0.036839675,8.101452576769063
0.025,0.0384414,8.532401636044098
0.025,0.040043125000000006,8.980623198717902
0.025,0.041644850000000004,9.449207376023011
0.025,0.043246575,9.94186322789212
0.025,0.0448483,10.46181812633503
0.025,0.046450025,11.012107424075912
0.025,0.048051750000000004,11.596672106189326
0.025,0.049653475,12.217721082664369
0.025,0.0512552,12.87875007055785
0.025,0.052856925,13.580495543752013
0.025,0.05445865,14.323960413614477
0.025,0.056060374999999996,15.112861147044766
0.025,0.0576621,15.94390596281611
0.025,0.059263825,16.816688622298457
0.025,0.060865550000000004,17.735719384219404
0.025,0.06246727500000001,18.69769485116869
0.025,0.064069,19.703558956412728
0.025,0.065670725,20.752439613555644
0.025,0.06727245,21.842439531779874
0.025,0.068874175,22.976784947826694
0.025,0.07047590000000001,24.15503322690056
0.025,0.072077625,25.373525479315084
0.025,0.07367935,26.63903375423284
0.025,0.075281075,27.94525982293857
0.025,0.0768828,29.297066971154557
0.025,0.07848452500000001,30.694971845357003
0.025,0.08008625000000001,32.13107185948602
0.025,0.08168797500000001,32.27813239241977
0.025,0.08328970000000001,32.24187314915888
0.025,0.084891425,32.20643585292256
0.025,0.08649315,32.17178688142277
0.025,0.088094875,32.13789457844764
0.025,0.0896966,32.10472910559236
0.025,0.091298325,32.072262307594315
0.025,0.09290005,32.040467589809744
0.025,0.09450177500000001,32.00931980654856
0.025,0.09610350000000001,31.978795159139054
0.026,0.0320345,7.018885434349155
0.026,0.033636225,7.42062612823644
0.026,0.035237950000000004,7.832984763160991
0.026,0.036839675,8.25827146614344
0.026,0.0384414,8.699549458445787
0.026,0.040043125000000006,9.158719629095344
0.026,0.041644850000000004,9.637822212200584
0.026,0.043246575,10.141752675455255
0.026,0.0448483,10.673534549125945
0.026,0.046450025,11.235942278457062
0.026,0.048051750000000004,11.832693378148676
0.026,0.049653475,12.46583593818299
0.026,0.0512552,13.137840018916409
0.026,0.052856925,13.851930240533777
0.026,0.05445865,14.607538182486888
0.026,0.056060374999999996,15.405218526392678
0.026,0.0576621,16.247647348812297
0.026,0.059263825,17.13168081381285
0.026,0.060865550000000004,18.062578268689656
0.026,0.06246727500000001,19.032267774317816
0.026,0.064069,20.05136434493939
0.026,0.065670725,21.109214884993072
0.026,0.06727245,22.21417175450925
0.026,0.068874175,23.3581855157197
0.026,0.07047590000000001,24.550252330175795
0.026,0.072077625,25.783851846702497
0.026,0.07367935,27.060297427435295
0.026,0.075281075,28.38319280091821
0.026,0.0768828,29.74551629848677
0.026,0.07848452500000001,31.156122955555794
0.026,0.08008625000000001,32.61199014804524
0.026,0.08168797500000001,34.10831375980729
0.026,0.08328970000000001,35.108844146263024
0.026,0.084891425,35.072305987810005
0.026,0.08649315,35.03658284202157
0.026,0.088094875,35.001641933294614
0.026,0.0896966,34.96745236997927
0.026,0.091298325,34.93398500470949
0.026,0.09290005,34.90121230733371
0.026,0.09450177500000001,34.86910824911344
0.026,0.09610350000000001,34.83764819701814
0.027,0.0320345,7.131581537214197
0.027,0.033636225,7.541349670930531
0.027,0.035237950000000004,7.962128355900661
0.027,0.036839675,8.396724709151313
0.027,0.0384414,8.847580314520403
0.027,0.040043125000000006,9.317003887977537
0.027,0.041644850000000004,9.80764508439281
0.027,0.043246575,10.323447618714741
0.027,0.0448483,10.86686554363707
0.027,0.046450025,11.441210759139171
